assigned_gid,video,frame,local_track_id,compared_to_gid,cosine_sim,hist_sim,iou
0,Video_1.mp4,22,1,0,0.99603,0.9863830081219078,0
0,Video_1.mp4,22,1,1,0.43430883,0.47319368973108594,0
0,Video_1.mp4,22,1,2,0.40838453,0.3682612102541314,0
1,Video_1.mp4,22,2,1,0.97000456,0.985249162168757,0
1,Video_1.mp4,22,2,2,0.7596322,0.8527667176545218,0
2,Video_1.mp4,22,3,2,0.97504634,0.986301924156732,0
0,Video_1.mp4,23,1,0,0.99192554,0.9830923968724679,0
0,Video_1.mp4,23,1,1,0.44391534,0.45832523288048893,0
0,Video_1.mp4,23,1,2,0.40596056,0.33895029818698974,0
1,Video_1.mp4,23,2,1,0.9619293,0.9868734858767405,0
1,Video_1.mp4,23,2,2,0.73915386,0.8611692361401193,0
2,Video_1.mp4,23,3,2,0.9765975,0.9874396992155801,0
0,Video_1.mp4,24,1,0,0.98676497,0.9869815438081182,0
0,Video_1.mp4,24,1,1,0.43416172,0.44962321111662945,0
0,Video_1.mp4,24,1,2,0.39239892,0.3286808146546611,0
1,Video_1.mp4,24,2,1,0.97012806,0.9819573578642579,0
1,Video_1.mp4,24,2,2,0.75856495,0.8505392837186024,0
2,Video_1.mp4,24,3,2,0.97779953,0.9794998681189057,0
0,Video_1.mp4,25,1,0,0.98396564,0.9859314237277133,0
0,Video_1.mp4,25,1,1,0.44050676,0.466087387253406,0
0,Video_1.mp4,25,1,2,0.39109412,0.34274564351984066,0
1,Video_1.mp4,25,2,1,0.9599848,0.9861962402479297,0
1,Video_1.mp4,25,2,2,0.7739521,0.8406926770844696,0
2,Video_1.mp4,25,3,2,0.9621005,0.9781868035378778,0
0,Video_1.mp4,26,1,0,0.9849873,0.9917026017687033,0
0,Video_1.mp4,26,1,1,0.43736744,0.46836799193522377,0
0,Video_1.mp4,26,1,2,0.38963443,0.3429607785350433,0
1,Video_1.mp4,26,2,1,0.9529998,0.9911317111289526,0
1,Video_1.mp4,26,2,2,0.7855034,0.8540371562065128,0
2,Video_1.mp4,26,3,2,0.96415335,0.9896699576921266,0
0,Video_1.mp4,27,1,0,0.983572,0.9885070920373622,0
0,Video_1.mp4,27,1,1,0.44687045,0.4912460882864237,0
0,Video_1.mp4,27,1,2,0.4011134,0.3657256035394575,0
1,Video_1.mp4,27,2,1,0.9588727,0.984613064191947,0
1,Video_1.mp4,27,2,2,0.7961894,0.8380499714100083,0
2,Video_1.mp4,27,3,2,0.95604646,0.9803817318650533,0
0,Video_1.mp4,28,1,0,0.97833043,0.9832334976297922,0
0,Video_1.mp4,28,1,1,0.44394657,0.4692381646603102,0
0,Video_1.mp4,28,1,2,0.39867806,0.33845915337733656,0
1,Video_1.mp4,28,2,1,0.95085037,0.979881505933164,0
